model,runtime_s,power_assumed_W,energy_kWh_estimated,kg_CO2eq_estimated,grid_g_CO2_per_kWh_assumed
rf_default,44.62571500201011,45.0,0.0005578214375251264,3.123800050140708e-05,56.0
rf_tuned,466.7354388470121,45.0,0.005834192985587652,0.00032671480719290846,56.0
linear_baseline,204.07617287599714,45.0,0.0025509521609499643,0.000142853321013198,56.0
mlp_dense,43.10187528500683,45.0,0.0005387734410625853,3.0171312699504778e-05,56.0
_TOTAL_modeles_somme_temps,758.5392020100262,45.0,0.009481740025125328,0.0005309774414070183,56.0
_TOTAL_temps_mur_run,776.0580588409794,45.0,0.009700725735512242,0.0005432406411886855,56.0
